Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
L,302.4,310.7,1362,54.8,155,1
L,300.7,310.9,1356,65.3,66,1
M,298.0,308.2,1373,51.2,215,0
L,301.4,310.5,1647,33.3,85,0
M,298.0,308.7,1479,58.5,176,1
M,300.4,310.2,1671,30.5,234,1
L,295.6,306.1,1372,55.6,215,1
M,300.9,309.5,1758,26.8,116,0
L,295.6,306.2,1287,54.8,49,0
L,302.0,311.2,1270,65.3,182,1
M,300.5,310.2,1386,48.2,225,0
L,302.9,311.1,1556,45.3,135,0
M,303.6,312.8,2659,11.4,26,1
M,300.5,309.9,1994,19.8,189,0
L,298.3,309.3,1337,56.1,206,1
L,297.0,307.9,1296,69.1,153,1
L,296.4,307.4,2833,5.6,213,1
M,300.1,311.4,1575,29.8,210,0
L,298.3,309.1,1417,60.5,143,0
M,299.0,309.7,1418,44.7,209,0
H,300.0,310.5,1558,36.7,137,0
H,296.7,307.4,1661,34.2,109,0
L,298.6,308.2,1361,68.2,172,1
L,303.3,311.3,1350,48.1,32,1
L,299.7,310.6,1675,31.3,129,0
L,299.1,310.6,1796,26.0,90,0
M,298.7,310.1,1402,69.7,64,1
H,302.5,310.9,1356,55.5,101,1
L,298.5,309.5,1385,46.3,203,1
M,302.1,310.6,1326,59.1,88,1
L,298.2,308.1,1462,49.9,69,0
H,300.2,311.6,1547,37.7,217,0
H,301.1,312.2,1491,42.6,52,0
M,299.1,310.4,1422,49.3,69,0
M,301.0,312.2,2710,9.7,143,1
L,301.7,310.2,1471,51.1,8,0
L,300.2,309.5,1539,35.3,80,0
L,300.9,310.8,1490,38.1,125,0
M,300.5,311.6,1658,30.4,170,0
M,302.9,311.1,1926,21.8,58,0
L,297.3,308.3,1410,48.1,23,0
M,300.4,310.5,1644,31.4,41,0
L,300.5,310.5,2633,12.2,17,1
M,300.6,309.8,1694,31.1,187,0
L,298.7,308.5,1483,42.5,46,0
L,300.3,310.2,1471,45.2,48,0
M,298.3,309.3,1376,57.0,198,0
M,302.7,311.1,1297,60.7,125,1
L,298.8,309.1,1350,52.5,111,0
L,299.1,310.1,1435,48.8,229,1
L,297.0,308.1,1362,52.5,213,1
L,299.7,310.6,1479,38.0,137,0
M,300.8,309.4,1342,62.4,113,1
M,302.5,311.4,1636,35.0,157,0
M,297.5,308.4,1505,37.2,215,0
M,298.1,308.2,1420,63.9,19,1
L,300.4,311.1,2013,20.1,195,0
L,298.3,309.1,1421,47.4,33,0
M,300.2,311.6,1608,35.0,212,0
M,301.7,311.2,1413,42.6,79,0
L,302.5,310.3,1326,58.5,55,1
L,301.7,310.6,1303,59.7,42,0
L,297.3,308.3,1309,61.5,56,0
M,297.5,308.0,2033,16.7,128,0
L,296.9,307.8,1400,57.1,202,1
L,300.0,309.6,1496,38.8,27,0
L,301.5,310.5,1396,44.5,117,0
L,303.1,311.3,1336,52.6,172,1
L,298.2,309.0,2449,13.8,45,0
L,300.6,311.9,1372,60.1,212,1
L,301.5,310.4,1270,54.2,26,0
L,298.6,309.4,1440,48.2,136,0
M,300.0,311.4,1692,29.0,216,1
M,299.1,308.8,1491,41.0,209,0
L,302.4,311.8,1255,59.0,138,0
L,303.3,311.4,1497,46.0,234,1
L,300.9,312.1,1711,28.8,74,0
L,298.0,307.7,1529,34.1,11,0
M,300.8,310.5,1409,50.6,141,0
L,298.3,308.0,2886,3.8,57,1
L,298.0,308.3,1405,56.2,218,1
L,300.7,311.9,1335,57.1,194,1
L,300.0,309.5,1925,21.9,9,0
L,304.1,313.2,1412,47.5,150,0
M,301.0,311.3,1454,41.5,57,0
L,298.2,307.9,1551,34.1,190,0
M,301.3,310.7,1300,58.3,92,0
L,298.9,308.7,1558,41.2,110,0
L,299.2,310.7,1540,36.3,175,0
L,298.6,309.6,1563,35.0,21,0
L,303.4,311.8,1401,53.0,208,1
L,302.8,312.4,1529,36.8,237,0
L,300.5,312.0,1461,38.1,39,0
L,300.8,312.4,1465,59.1,91,1
L,298.0,309.2,1378,49.7,94,0
L,300.4,309.6,1523,38.5,124,0
M,298.4,308.2,1499,40.0,211,0
M,302.1,310.6,1517,38.9,2,0
M,298.1,307.4,1363,60.1,187,0
M,300.5,309.7,1347,54.3,136,0
L,298.2,307.6,1511,31.0,209,1
M,298.5,309.3,1552,36.8,133,0
M,304.1,313.4,1518,42.4,105,0
M,297.8,307.3,1804,26.0,222,0
L,302.0,310.4,1336,58.2,110,1
M,303.3,311.5,1373,47.3,60,1
M,299.9,309.2,1683,30.5,13,0
L,300.7,312.1,1395,41.9,157,0
L,302.0,310.9,1378,53.1,212,1
M,301.8,311.1,1597,29.8,177,0
